order,PhylGroup,monkey,mean_phylum_abundance,taxa,CommonName,study,monkey_order
1,Lemur,Eulemur rubriventer,2.22,Tenericutes,Red bellied lemur,Mann et al. 2020,1
2,Lemur,Eulemur rubriventer,7.64,Kiritimatiellaeota,Red bellied lemur,Mann et al. 2020,1
3,Lemur,Eulemur rubriventer,0,Spirochaetes,Red bellied lemur,Mann et al. 2020,1
4,Lemur,Eulemur rubriventer,13.58,Proteobacteria,Red bellied lemur,Mann et al. 2020,1
5,Lemur,Eulemur rubriventer,5.72,Cyanobacteria,Red bellied lemur,Mann et al. 2020,1
6,Lemur,Eulemur rubriventer,0,Rare or unassigned,Red bellied lemur,Mann et al. 2020,1
7,Lemur,Eulemur rubriventer,22.88,Firmicutes,Red bellied lemur,Mann et al. 2020,1
8,Lemur,Eulemur rubriventer,45.88,Bacteroidetes,Red bellied lemur,Mann et al. 2020,1
9,Lemur,Eulemur rubriventer,1.06,Actinobacteria,Red bellied lemur,Mann et al. 2020,1
10,Lemur,Eulemur rubriventer,1.02,Euryarchaeota,Red bellied lemur,Mann et al. 2020,1
11,Lemur,Propithecus verreauxi,19.24,Bacteroidetes,White sifaka,Mann et al. 2020,2
12,Lemur,Propithecus verreauxi,52.78,Firmicutes,White sifaka,Mann et al. 2020,2
13,Lemur,Propithecus verreauxi,0,Spirochaetes,White sifaka,Mann et al. 2020,2
14,Lemur,Propithecus verreauxi,1.996,Actinobacteria,White sifaka,Mann et al. 2020,2
15,Lemur,Propithecus verreauxi,8.116,Cyanobacteria,White sifaka,Mann et al. 2020,2
16,Lemur,Propithecus verreauxi,0,Euryarchaeota,White sifaka,Mann et al. 2020,2
17,Lemur,Propithecus verreauxi,8.656,Proteobacteria,White sifaka,Mann et al. 2020,2
18,Lemur,Propithecus verreauxi,1.712,Rare or unassigned,White sifaka,Mann et al. 2020,2
19,Lemur,Propithecus verreauxi,1.712,Tenericutes,White sifaka,Mann et al. 2020,2
20,Lemur,Propithecus verreauxi,5.788,Kiritimatiellaeota,White sifaka,Mann et al. 2020,2
21,New_World,Alouatta pigra,0,Rare or unassigned,Guatemalan black howler,Mann et al. 2020,3
22,New_World,Alouatta pigra,0.02,Kiritimatiellaeota,Guatemalan black howler,Mann et al. 2020,3
23,New_World,Alouatta pigra,10.96,Tenericutes,Guatemalan black howler,Mann et al. 2020,3
24,New_World,Alouatta pigra,4.26,Proteobacteria,Guatemalan black howler,Mann et al. 2020,3
25,New_World,Alouatta pigra,0,Euryarchaeota,Guatemalan black howler,Mann et al. 2020,3
26,New_World,Alouatta pigra,0,Spirochaetes,Guatemalan black howler,Mann et al. 2020,3
27,New_World,Alouatta pigra,62.88,Firmicutes,Guatemalan black howler,Mann et al. 2020,3
28,New_World,Alouatta pigra,4.92,Cyanobacteria,Guatemalan black howler,Mann et al. 2020,3
29,New_World,Alouatta pigra,0.12,Actinobacteria,Guatemalan black howler,Mann et al. 2020,3
30,New_World,Alouatta pigra,16.84,Bacteroidetes,Guatemalan black howler,Mann et al. 2020,3
31,New_World,Alouatta seniculus,18.56,Tenericutes,Venezuelan red howler,Mann et al. 2020,4
32,New_World,Alouatta seniculus,6.833333333,Proteobacteria,Venezuelan red howler,Mann et al. 2020,4
33,New_World,Alouatta seniculus,0.073333333,Rare or unassigned,Venezuelan red howler,Mann et al. 2020,4
34,New_World,Alouatta seniculus,63.36666667,Firmicutes,Venezuelan red howler,Mann et al. 2020,4
35,New_World,Alouatta seniculus,0,Spirochaetes,Venezuelan red howler,Mann et al. 2020,4
36,New_World,Alouatta seniculus,0.733333333,Cyanobacteria,Venezuelan red howler,Mann et al. 2020,4
37,New_World,Alouatta seniculus,0.026666667,Actinobacteria,Venezuelan red howler,Mann et al. 2020,4
38,New_World,Alouatta seniculus,0,Kiritimatiellaeota,Venezuelan red howler,Mann et al. 2020,4
39,New_World,Alouatta seniculus,0,Euryarchaeota,Venezuelan red howler,Mann et al. 2020,4
40,New_World,Alouatta seniculus,10.40666667,Bacteroidetes,Venezuelan red howler,Mann et al. 2020,4
41,New_World,Ateles belzebuth,5.555,Cyanobacteria,White bellied spider monkey,Mann et al. 2020,5
42,New_World,Ateles belzebuth,41.905,Firmicutes,White bellied spider monkey,Mann et al. 2020,5
43,New_World,Ateles belzebuth,3.315,Proteobacteria,White bellied spider monkey,Mann et al. 2020,5
44,New_World,Ateles belzebuth,1.645,Tenericutes,White bellied spider monkey,Mann et al. 2020,5
45,New_World,Ateles belzebuth,0.475,Actinobacteria,White bellied spider monkey,Mann et al. 2020,5
46,New_World,Ateles belzebuth,0.35,Euryarchaeota,White bellied spider monkey,Mann et al. 2020,5
47,New_World,Ateles belzebuth,0,Spirochaetes,White bellied spider monkey,Mann et al. 2020,5
